OBJECT ID	RA	Dec
MSA Source499: 277.5259, 1.230890; Mags: [40.09 Column 20, 21.61 Column 21, 19.6 Column 22, 17.43 Column 23, 15.72 Column 24]	18 30 6.2136	+01 13 51.20
MSA Source510: 277.4958, 1.196260; Mags: [60.71 Column 20, 28.94 Column 21, 23.74 Column 22, 20.19 Column 23, 17.19 Column 24]	18 29 58.9872	+01 11 46.54
MSA Source517: 277.5151, 1.209520; Mags: [37.62 Column 20, 20.49 Column 21, 18.36 Column 22, 17.03 Column 23, 15.5 Column 24]	18 30 3.6336	+01 12 34.27
MSA Source527: 277.5162, 1.209840; Mags: [37.87 Column 20, 20.82 Column 21, 19.03 Column 22, 17.06 Column 23, 15.52 Column 24]	18 30 3.8760	+01 12 35.42
MSA Source52: 277.4652, 1.231090; Mags: [37.52 Column 20, 19.57 Column 21, 17.35 Column 22, 15.91 Column 23, 14.13 Column 24]	18 29 51.6408	+01 13 51.92
MSA Source537: 277.4979, 1.195560; Mags: [81.44 Column 20, 37.6 Column 21, 29.85 Column 22, 24.71 Column 23, 20.49 Column 24]	18 29 59.5056	+01 11 44.02
MSA Source540: 277.5263, 1.224800; Mags: [36.8 Column 20, 20.77 Column 21, 18.85 Column 22, 17.71 Column 23, 16.15 Column 24]	18 30 6.3072	+01 13 29.28
MSA Source549: 277.4997, 1.195740; Mags: [119.16 Column 20, 51.23 Column 21, 38.85 Column 22, 29.93 Column 23, 23.2 Column 24]	18 29 59.9352	+01 11 44.66
MSA Source54: 277.4786, 1.229300; Mags: [52.62 Column 20, 25.88 Column 21, 22.33 Column 22, 19.59 Column 23, 16.97 Column 24]	18 29 54.8640	+01 13 45.48
MSA Source563: 277.5183, 1.209340; Mags: [32.44 Column 20, 16.68 Column 21, 14.74 Column 22, 13.56 Column 23, 12.09 Column 24]	18 30 4.3920	+01 12 33.62
MSA Source564: 277.5043, 1.197350; Mags: [66.8 Column 20, 31.61 Column 21, 25.9 Column 22, 21.67 Column 23, 18.26 Column 24]	18 30 1.0416	+01 11 50.46
MSA Source57: 277.4576, 1.238150; Mags: [38.96 Column 20, 20.88 Column 21, 18.57 Column 22, 17.13 Column 23, 15.36 Column 24]	18 29 49.8168	+01 14 17.34
MSA Source61: 277.4925, 1.247160; Mags: [40.94 Column 20, 21.21 Column 21, 18.65 Column 22, 17.11 Column 23, 15.13 Column 24]	18 29 58.2048	+01 14 49.78
MSA Source657: 277.5039, 1.191920; Mags: [65.5 Column 20, 31.82 Column 21, 26.6 Column 22, 22.25 Column 23, 19.0 Column 24]	18 30 0.9384	+01 11 30.91
MSA Source65: 277.4869, 1.260620; Mags: [41.44 Column 20, 21.58 Column 21, 19.01 Column 22, 17.44 Column 23, 15.44 Column 24]	18 29 56.8608	+01 15 38.23
MSA Source673: 277.5276, 1.213040; Mags: [35.49 Column 20, 20.01 Column 21, 18.02 Column 22, 16.95 Column 23, 15.52 Column 24]	18 30 6.6288	+01 12 46.94
MSA Source72: 277.4594, 1.232800; Mags: [38.13 Column 20, 20.46 Column 21, 18.25 Column 22, 16.87 Column 23, 15.13 Column 24]	18 29 50.2608	+01 13 58.08
MSA Source80: 277.4942, 1.241340; Mags: [61.06 Column 20, 27.66 Column 21, 22.4 Column 22, 18.88 Column 23, 15.52 Column 24]	18 29 58.6032	+01 14 28.82
MSA Source83: 277.4948, 1.250320; Mags: [40.15 Column 20, 21.35 Column 21, 19.03 Column 22, 17.61 Column 23, 15.67 Column 24]	18 29 58.7544	+01 15 1.15
MSA Source87: 277.4569, 1.232830; Mags: [39.25 Column 20, 21.58 Column 21, 19.26 Column 22, 18.03 Column 23, 16.33 Column 24]	18 29 49.6584	+01 13 58.19
MSA Source90: 277.4745, 1.224570; Mags: [48.3 Column 20, 25.1 Column 21, 21.86 Column 22, 19.63 Column 23, 17.31 Column 24]	18 29 53.8776	+01 13 28.45
MSA Source94: 277.4792, 1.224640; Mags: [68.03 Column 20, 32.1 Column 21, 26.38 Column 22, 22.1 Column 23, 18.49 Column 24]	18 29 55.0008	+01 13 28.70
MSA Source95: 277.4912, 1.261780; Mags: [43.24 Column 20, 22.64 Column 21, 20.1 Column 22, 18.22 Column 23, 16.18 Column 24]	18 29 57.8976	+01 15 42.41
