OBJECT ID	RA	Dec
MSA Source31: 277.4806, 1.257310; Mags: [39.98 Column 20, 22.59 Column 21, 20.28 Column 22, 19.31 Column 23, 17.42 Column 24]	18 29 55.3440	+01 15 26.32
MSA Source332: 277.4322, 1.263980; Mags: [37.05 Column 20, 20.79 Column 21, 18.89 Column 22, 17.67 Column 23, 16.08 Column 24]	18 29 43.7304	+01 15 50.33
MSA Source338: 277.4344, 1.269470; Mags: [38.7 Column 20, 21.61 Column 21, 19.32 Column 22, 18.19 Column 23, 16.57 Column 24]	18 29 44.2584	+01 16 10.09
MSA Source36: 277.4853, 1.255030; Mags: [40.92 Column 20, 21.86 Column 21, 19.53 Column 22, 18.05 Column 23, 16.06 Column 24]	18 29 56.4696	+01 15 18.11
MSA Source37: 277.4869, 1.252060; Mags: [36.98 Column 20, 17.33 Column 21, 14.86 Column 22, 13.27 Column 23, 11.26 Column 24]	18 29 56.8608	+01 15 7.42
MSA Source386: 277.4540, 1.290430; Mags: [46.37 Column 20, 24.32 Column 21, 18.97 Column 22, 16.78 Column 23, 14.52 Column 24]	18 29 48.9696	+01 17 25.55
MSA Source412: 277.4351, 1.278450; Mags: [36.79 Column 20, 21.47 Column 21, 20.06 Column 22, 18.26 Column 23, 16.67 Column 24]	18 29 44.4120	+01 16 42.42
MSA Source41: 277.4631, 1.236490; Mags: [38.54 Column 20, 20.99 Column 21, 18.8 Column 22, 17.62 Column 23, 15.87 Column 24]	18 29 51.1464	+01 14 11.36
MSA Source42: 277.4612, 1.255930; Mags: [187.23 Column 20, 76.53 Column 21, 56.19 Column 22, 40.87 Column 23, 29.53 Column 24]	18 29 50.6976	+01 15 21.35
MSA Source43: 277.4670, 1.232650; Mags: [39.46 Column 20, 21.54 Column 21, 19.25 Column 22, 18.01 Column 23, 16.23 Column 24]	18 29 52.0728	+01 13 57.54
MSA Source45: 277.4595, 1.239090; Mags: [38.1 Column 20, 21.23 Column 21, 19.3 Column 22, 17.99 Column 23, 16.27 Column 24]	18 29 50.2800	+01 14 20.72
MSA Source47: 277.4725, 1.263820; Mags: [40.87 Column 20, 21.65 Column 21, 19.39 Column 22, 17.75 Column 23, 15.72 Column 24]	18 29 53.3880	+01 15 49.75
MSA Source49: 277.4580, 1.239490; Mags: [38.37 Column 20, 20.99 Column 21, 18.85 Column 22, 17.57 Column 23, 15.85 Column 24]	18 29 49.9176	+01 14 22.16
MSA Source4: 277.4720, 1.243490; Mags: [42.97 Column 20, 22.61 Column 21, 20.06 Column 22, 18.16 Column 23, 16.19 Column 24]	18 29 53.2824	+01 14 36.56
MSA Source51: 277.4705, 1.264290; Mags: [42.27 Column 20, 22.6 Column 21, 20.09 Column 22, 18.56 Column 23, 16.51 Column 24]	18 29 52.9128	+01 15 51.44
MSA Source60: 277.4600, 1.259260; Mags: [152.86 Column 20, 64.08 Column 21, 48.12 Column 22, 35.91 Column 23, 26.81 Column 24]	18 29 50.4072	+01 15 33.34
MSA Source63: 277.4797, 1.264810; Mags: [40.71 Column 20, 21.2 Column 21, 18.73 Column 22, 17.18 Column 23, 15.15 Column 24]	18 29 55.1160	+01 15 53.32
MSA Source64: 277.4713, 1.228080; Mags: [38.62 Column 20, 21.5 Column 21, 19.62 Column 22, 18.15 Column 23, 16.42 Column 24]	18 29 53.1168	+01 13 41.09
MSA Source66: 277.4548, 1.242790; Mags: [53.9 Column 20, 27.03 Column 21, 22.78 Column 22, 20.39 Column 23, 17.74 Column 24]	18 29 49.1400	+01 14 34.04
MSA Source67: 277.4551, 1.241450; Mags: [40.57 Column 20, 21.98 Column 21, 20.06 Column 22, 17.77 Column 23, 15.99 Column 24]	18 29 49.2192	+01 14 29.22
MSA Source6: 277.4732, 1.242460; Mags: [39.82 Column 20, 21.72 Column 21, 19.67 Column 22, 18.11 Column 23, 16.23 Column 24]	18 29 53.5608	+01 14 32.86
MSA Source70: 277.4558, 1.238700; Mags: [38.75 Column 20, 20.78 Column 21, 18.44 Column 22, 17.14 Column 23, 15.42 Column 24]	18 29 49.3800	+01 14 19.32
MSA Source72: 277.4594, 1.232800; Mags: [38.13 Column 20, 20.46 Column 21, 18.25 Column 22, 16.87 Column 23, 15.13 Column 24]	18 29 50.2608	+01 13 58.08
MSA Source74: 277.4797, 1.266280; Mags: [44.26 Column 20, 23.01 Column 21, 20.46 Column 22, 18.69 Column 23, 16.56 Column 24]	18 29 55.1256	+01 15 58.61
MSA Source81: 277.4827, 1.265950; Mags: [44.02 Column 20, 22.9 Column 21, 20.49 Column 22, 18.53 Column 23, 16.4 Column 24]	18 29 55.8552	+01 15 57.42
MSA Source82: 277.4841, 1.265440; Mags: [42.13 Column 20, 22.31 Column 21, 19.79 Column 22, 18.27 Column 23, 16.25 Column 24]	18 29 56.1720	+01 15 55.58
MSA Source83: 277.4948, 1.250320; Mags: [40.15 Column 20, 21.35 Column 21, 19.03 Column 22, 17.61 Column 23, 15.67 Column 24]	18 29 58.7544	+01 15 1.15
MSA Source85: 277.4789, 1.267750; Mags: [40.73 Column 20, 21.57 Column 21, 19.22 Column 22, 17.88 Column 23, 15.87 Column 24]	18 29 54.9312	+01 16 3.90
MSA Source87: 277.4569, 1.232830; Mags: [39.25 Column 20, 21.58 Column 21, 19.26 Column 22, 18.03 Column 23, 16.33 Column 24]	18 29 49.6584	+01 13 58.19
MSA Source88: 277.4959, 1.248170; Mags: [40.55 Column 20, 20.09 Column 21, 17.55 Column 22, 15.92 Column 23, 13.91 Column 24]	18 29 59.0088	+01 14 53.41
MSA Source91: 277.4802, 1.268560; Mags: [40.2 Column 20, 20.35 Column 21, 17.8 Column 22, 16.2 Column 23, 14.16 Column 24]	18 29 55.2528	+01 16 6.82
MSA Source96: 277.4845, 1.267260; Mags: [40.68 Column 20, 20.97 Column 21, 18.5 Column 22, 16.94 Column 23, 14.9 Column 24]	18 29 56.2824	+01 16 2.14
MSA Source97: 277.4524, 1.255300; Mags: [131.02 Column 20, 56.21 Column 21, 42.85 Column 22, 32.95 Column 23, 25.3 Column 24]	18 29 48.5664	+01 15 19.08
